Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink16:51:44.174000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
16:52:19.041000 Conn: 0000 Handle: 0003  Values: 3000000000000000000000000000000000000e00
16:52:19.396000 Conn: 0001 Handle: 0001  Values: 3200000000000000000000000000000000001d00
16:52:20.040000 Conn: 0000 Handle: 0001  Values: 3300000000000000000000000000000000001e00
16:52:20.391000 Conn: 0001 Handle: 0003  Values: 3200000000000000000000000000000000000f00
16:52:21.037000 Conn: 0000 Handle: 0003  Values: 3300000000000000000000000000000000000f00
16:52:21.390000 Conn: 0001 Handle: 0001  Values: 3600000000000000000000000000000000001f00
16:52:22.042000 Conn: 0000 Handle: 0001  Values: 3700000000000000000000000000000000002000
16:52:22.391000 Conn: 0001 Handle: 0002  Values: 3600000000000000000000000000000000000700
16:52:23.041000 Conn: 0000 Handle: 0002  Values: 3700000000000000000000000000000000000700
16:52:23.390000 Conn: 0001 Handle: 0001  Values: 3900000000000000000000000000000000002100
16:52:24.040000 Conn: 0000 Handle: 0001  Values: 3c00000000000000000000000000000000002300
16:52:24.390000 Conn: 0001 Handle: 0003  Values: 3900000000000000000000000000000000001100
16:52:25.394000 Conn: 0001 Handle: 0001  Values: 3c00000000000000000000000000000000002300
16:52:26.040000 Conn: 0000 Handle: 0003  Values: 3c00000000000000000000000000000000001200
16:52:26.297000  SCAN CMD
16:52:26.398000 Conn: 0001 Handle: 0003  Values: 3c00000000000000000000000000000000001200
16:52:27.040000 Conn: 0000 Handle: 0005  Values: 3e00000000000000000000000000000000000a00
16:52:27.391000 Conn: 0001 Handle: 0001  Values: 4000000000000000000000000000000000002500
16:52:28.042000 Conn: 0000 Handle: 0001  Values: 3e00000000000000000000000000000000002400
16:52:28.396000 Conn: 0001 Handle: 0002  Values: 4000000000000000000000000000000000000800
16:52:29.045000 Conn: 0000 Handle: 0001  Values: 4100000000000000000000000000000000002600
16:52:29.396000 Conn: 0001 Handle: 0001  Values: 4300000000000000000000000000000000002700
16:52:30.041000 Conn: 0000 Handle: 0003  Values: 4100000000000000000000000000000000001300
16:52:30.398000 Conn: 0001 Handle: 0003  Values: 4300000000000000000000000000000000001400
16:52:31.046000 Conn: 0000 Handle: 0001  Values: 4400000000000000000000000000000000002800
16:52:31.396000 Conn: 0001 Handle: 0001  Values: 4700000000000000000000000000000000002900
16:52:32.039000 Conn: 0000 Handle: 0003  Values: 4400000000000000000000000000000000001400
16:52:32.391000 Conn: 0001 Handle: 0002  Values: 4700000000000000000000000000000000000900
16:52:33.046000 Conn: 0000 Handle: 0001  Values: 4a00000000000000000000000000000000002b00
16:52:33.398000 Conn: 0001 Handle: 0001  Values: 4a00000000000000000000000000000000002b00
16:52:34.042000 Conn: 0000 Handle: 0002  Values: 4a00000000000000000000000000000000000900
16:52:34.397000 Conn: 0001 Handle: 0003  Values: 4a00000000000000000000000000000000001600
16:52:35.037000 Conn: 0000 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
16:52:35.395000 Conn: 0001 Handle: 0001  Values: 4d00000000000000000000000000000000002d00
16:52:36.041000 Conn: 0000 Handle: 0003  Values: 4d00000000000000000000000000000000001700
16:52:36.324000  SCAN CMD
16:52:36.397000 Conn: 0001 Handle: 0003  Values: 4d00000000000000000000000000000000001700
16:52:37.039000 Conn: 0000 Handle: 0005  Values: 4f00000000000000000000000000000000000a00
16:52:37.395000 Conn: 0001 Handle: 0001  Values: 5100000000000000000000000000000000002f00
16:52:38.038000 Conn: 0000 Handle: 0001  Values: 5200000000000000000000000000000000003000
16:52:38.389000 Conn: 0001 Handle: 0002  Values: 5100000000000000000000000000000000000a00
16:52:39.039000 Conn: 0000 Handle: 0003  Values: 5200000000000000000000000000000000001800
16:52:39.399000 Conn: 0001 Handle: 0001  Values: 5400000000000000000000000000000000003100
16:52:40.044000 Conn: 0000 Handle: 0001  Values: 5500000000000000000000000000000000003200
16:52:40.395000 Conn: 0001 Handle: 0003  Values: 5400000000000000000000000000000000001900
16:52:41.040000 Conn: 0000 Handle: 0003  Values: 5500000000000000000000000000000000001900
16:52:41.391000 Conn: 0001 Handle: 0001  Values: 5800000000000000000000000000000000003300
16:52:42.038000 Conn: 0000 Handle: 0001  Values: 5900000000000000000000000000000000003400
16:52:42.396000 Conn: 0001 Handle: 0002  Values: 5800000000000000000000000000000000000b00
16:52:43.043000 Conn: 0000 Handle: 0002  Values: 5900000000000000000000000000000000000b00
16:52:43.393000 Conn: 0001 Handle: 0001  Values: 5b00000000000000000000000000000000003500
16:52:44.038000 Conn: 0000 Handle: 0001  Values: 5e00000000000000000000000000000000003700
16:52:44.397000 Conn: 0001 Handle: 0003  Values: 5b00000000000000000000000000000000001b00
16:52:45.042000 Conn: 0000 Handle: 0003  Values: 5e00000000000000000000000000000000001c00
16:52:45.399000 Conn: 0001 Handle: 0001  Values: 5e00000000000000000000000000000000003700
16:52:46.034000 Conn: 0000 Handle: 0005  Values: 6000000000000000000000000000000000000a00
16:52:46.350000  SCAN CMD
16:52:46.391000 Conn: 0001 Handle: 0003  Values: 5e00000000000000000000000000000000001c00
16:52:47.044000 Conn: 0000 Handle: 0001  Values: 6000000000000000000000000000000000003800
16:52:47.402000 Conn: 0001 Handle: 0001  Values: 6200000000000000000000000000000000003900
16:52:48.039000 Conn: 0000 Handle: 0001  Values: 6300000000000000000000000000000000003a00
16:52:48.399000 Conn: 0001 Handle: 0002  Values: 6200000000000000000000000000000000000c00
16:52:49.039000 Conn: 0000 Handle: 0003  Values: 6300000000000000000000000000000000001d00
16:52:49.397000 Conn: 0001 Handle: 0001  Values: 6500000000000000000000000000000000003b00
16:52:50.046000 Conn: 0000 Handle: 0001  Values: 6600000000000000000000000000000000003c00
16:52:50.391000 Conn: 0001 Handle: 0003  Values: 6500000000000000000000000000000000001e00
16:52:51.036000 Conn: 0000 Handle: 0003  Values: 6600000000000000000000000000000000001e00
16:52:51.399000 Conn: 0001 Handle: 0001  Values: 6900000000000000000000000000000000003d00
16:52:52.043000 Conn: 0000 Handle: 0001  Values: 6a00000000000000000000000000000000003e00
16:52:52.401000 Conn: 0001 Handle: 0002  Values: 6900000000000000000000000000000000000d00
16:52:53.048000 Conn: 0000 Handle: 0002  Values: 6a00000000000000000000000000000000000d00
16:52:53.397000 Conn: 0001 Handle: 0001  Values: 6c00000000000000000000000000000000003f00
16:52:54.048000 Conn: 0000 Handle: 0001  Values: 6f00000000000000000000000000000000004100
16:52:54.397000 Conn: 0001 Handle: 0003  Values: 6c00000000000000000000000000000000002000
16:52:55.046000 Conn: 0000 Handle: 0003  Values: 6f00000000000000000000000000000000002100
16:52:55.400000 Conn: 0001 Handle: 0001  Values: 6f00000000000000000000000000000000004100
16:52:56.041000 Conn: 0000 Handle: 0005  Values: 7100000000000000000000000000000000000a00
16:52:56.360000  SCAN CMD
16:52:56.398000 Conn: 0001 Handle: 0003  Values: 6f00000000000000000000000000000000002100
16:52:57.039000 Conn: 0000 Handle: 0001  Values: 7100000000000000000000000000000000004200
16:52:57.398000 Conn: 0001 Handle: 0001  Values: 7300000000000000000000000000000000004300
16:52:58.045000 Conn: 0000 Handle: 0001  Values: 7400000000000000000000000000000000004400
16:52:58.399000 Conn: 0001 Handle: 0002  Values: 7300000000000000000000000000000000000e00
16:52:59.042000 Conn: 0000 Handle: 0003  Values: 7400000000000000000000000000000000002200
16:52:59.392000 Conn: 0001 Handle: 0001  Values: 7600000000000000000000000000000000004500
16:53:00.045000 Conn: 0000 Handle: 0001  Values: 7700000000000000000000000000000000004600
16:53:00.398000 Conn: 0001 Handle: 0003  Values: 7600000000000000000000000000000000002300
16:53:01.043000 Conn: 0000 Handle: 0003  Values: 7700000000000000000000000000000000002300
16:53:01.398000 Conn: 0001 Handle: 0001  Values: 7a00000000000000000000000000000000004700
16:53:02.037000 Conn: 0000 Handle: 0001  Values: 7b00000000000000000000000000000000004800
16:53:02.394000 Conn: 0001 Handle: 0002  Values: 7a00000000000000000000000000000000000f00
16:53:03.040000 Conn: 0000 Handle: 0002  Values: 7b00000000000000000000000000000000000f00
16:53:03.401000 Conn: 0001 Handle: 0001  Values: 7d00000000000000000000000000000000004900
16:53:04.042000 Conn: 0000 Handle: 0001  Values: 8000000000000000000000000000000000004b00
16:53:04.394000 Conn: 0001 Handle: 0003  Values: 7d00000000000000000000000000000000002500
16:53:05.038000 Conn: 0000 Handle: 0003  Values: 8000000000000000000000000000000000002600
16:53:05.394000 Conn: 0001 Handle: 0001  Values: 8000000000000000000000000000000000004b00
16:53:06.043000 Conn: 0000 Handle: 0005  Values: 8200000000000000000000000000000000000a00
16:53:06.37800016:53:06.403000   SCAN CMDConn:
 0001 Handle: 0003  Values: 8000000000000000000000000000000000002600
16:53:07.043000 Conn: 0000 Handle: 0001  Values: 8200000000000000000000000000000000004c00
16:53:07.401000 Conn: 0001 Handle: 0001  Values: 8400000000000000000000000000000000004d00
16:53:08.042000 Conn: 0000 Handle: 0001  Values: 8500000000000000000000000000000000004e00
16:53:08.399000 Conn: 0001 Handle: 0002  Values: 8400000000000000000000000000000000001000
16:53:09.044000 Conn: 0000 Handle: 0003  Values: 8500000000000000000000000000000000002700
16:53:09.399000 Conn: 0001 Handle: 0001  Values: 8700000000000000000000000000000000004f00
16:53:10.042000 Conn: 0000 Handle: 0001  Values: 8800000000000000000000000000000000005000
16:53:10.394000 Conn: 0001 Handle: 0003  Values: 8700000000000000000000000000000000002800
16:53:11.046000 Conn: 0000 Handle: 0003  Values: 8800000000000000000000000000000000002800
16:53:11.397000 Conn: 0001 Handle: 0001  Values: 8b00000000000000000000000000000000005100
16:53:12.042000 Conn: 0000 Handle: 0001  Values: 8c00000000000000000000000000000000005200
16:53:12.401000 Conn: 0001 Handle: 0002  Values: 8b00000000000000000000000000000000001100
16:53:13.044000 Conn: 0000 Handle: 0002  Values: 8c00000000000000000000000000000000001100
16:53:13.402000 Conn: 0001 Handle: 0001  Values: 9100000000000000000000000000000000005500
16:53:14.039000 Conn: 0000 Handle: 0005  Values: 8f00000000000000000000000000000000000a00
16:53:14.405000 Conn: 0001 Handle: 0003  Values: 9100000000000000000000000000000000002b00
16:53:15.048000 Conn: 0000 Handle: 0001  Values: 8f00000000000000000000000000000000005400
16:53:15.402000 Conn: 0001 Handle: 0001  Values: 9500000000000000000000000000000000005700
16:53:16.047000 Conn: 0000 Handle: 0001  Values: 9100000000000000000000000000000000005500
16:53:16.401000 Conn: 0001 Handle: 0002  Values: 9500000000000000000000000000000000001200
 16:53:16.466000  SCAN CMD
16:53:17.045000 Conn: 0000 Handle: 0001  Values: 9500000000000000000000000000000000005700
16:53:17.402000 Conn: 0001 Handle: 0003  Values: 9500000000000000000000000000000000002c00
16:53:18.045000 Conn: 0000 Handle: 0002  Values: 9500000000000000000000000000000000001200
16:53:18.401000 Conn: 0001 Handle: 0001  Values: 9800000000000000000000000000000000005900
16:53:19.042000 Conn: 0000 Handle: 0001  Values: 9800000000000000000000000000000000005900
16:53:19.395000 Conn: 0001 Handle: 0003  Values: 9800000000000000000000000000000000002d00
16:53:20.041000 Conn: 0000 Handle: 0003  Values: 9800000000000000000000000000000000002d00
16:53:20.401000 Conn: 0001 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
16:53:21.047000 Conn: 0000 Handle: 0001  Values: 9c00000000000000000000000000000000005b00
16:53:21.400000 Conn: 0001 Handle: 0002  Values: 9c00000000000000000000000000000000001300
16:53:22.038000 Conn: 0000 Handle: 0002  Values: 9c00000000000000000000000000000000001300
16:53:22.398000 Conn: 0001 Handle: 0003  Values: 9c00000000000000000000000000000000002e00
16:53:23.038000 Conn: 0000 Handle: 0001  Values: a000000000000000000000000000000000005e00
16:53:23.403000 Conn: 0001 Handle: 0001  Values: 9f00000000000000000000000000000000005d00
16:53:24.046000 Conn: 0000 Handle: 0003  Values: a000000000000000000000000000000000002f00
16:53:24.395000 Conn: 0001 Handle: 0003  Values: 9f00000000000000000000000000000000002f00
16:53:25.049000 Conn: 0000 Handle: 0005  Values: a200000000000000000000000000000000000a00
16:53:25.399000 Conn: 0001 Handle: 0001  Values: a200000000000000000000000000000000005f00
16:53:26.049000 Conn: 0000 Handle: 0001  Values: a200000000000000000000000000000000005f00
16:53:26.404000 Conn: 0001 Handle: 0003  Values: a200000000000000000000000000000000003000
16:53:26.494000  SCAN CMD
16:53:27.043000 Conn: 0000 Handle: 0001  Values: a600000000000000000000000000000000006100
16:53:27.402000 Conn: 0001 Handle: 0001  Values: a600000000000000000000000000000000006100
16:53:28.045000 Conn: 0000 Handle: 0002  Values: a600000000000000000000000000000000001400
16:53:28.398000 Conn: 0001 Handle: 0002  Values: a600000000000000000000000000000000001400
16:53:29.041000 Conn: 0000 Handle: 0001  Values: a900000000000000000000000000000000006300
16:53:29.402000 Conn: 0001 Handle: 0001  Values: a900000000000000000000000000000000006300
16:53:30.046000 Conn: 0000 Handle: 0003  Values: a900000000000000000000000000000000003200
16:53:30.398000 Conn: 0001 Handle: 0003  Values: a900000000000000000000000000000000003200
16:53:31.038000 Conn: 0000 Handle: 0001  Values: ad00000000000000000000000000000000006500
16:53:31.395000 Conn: 0001 Handle: 0001  Values: ad00000000000000000000000000000000006500
16:53:32.046000 Conn: 0000 Handle: 0002  Values: ad00000000000000000000000000000000001500
16:53:32.400000 Conn: 0001 Handle: 0002  Values: ad00000000000000000000000000000000001500
16:53:33.047000 Conn: 0000 Handle: 0001  Values: b100000000000000000000000000000000006800
16:53:33.404000 Conn: 0001 Handle: 0001  Values: b000000000000000000000000000000000006700
16:53:34.041000 Conn: 0000 Handle: 0003  Values: b100000000000000000000000000000000003400
16:53:34.400000 Conn: 0001 Handle: 0003  Values: b000000000000000000000000000000000003400
16:53:35.044000 Conn: 0000 Handle: 0005  Values: b300000000000000000000000000000000000a00
16:53:35.397000 Conn: 0001 Handle: 0001  Values: b300000000000000000000000000000000006900
16:53:36.043000 Conn: 0000 Handle: 0001  Values: b300000000000000000000000000000000006900
16:53:36.404000 Conn: 0001 Handle: 0003  Values: b300000000000000000000000000000000003500
16:53:36.564000  SCAN CMD
16:53:37.042000 Conn: 0000 Handle: 0001  Values: b700000000000000000000000000000000006b00
16:53:37.395000 Conn: 0001 Handle: 0001  Values: b700000000000000000000000000000000006b00
16:53:38.043000 Conn: 0000 Handle: 0002  Values: b700000000000000000000000000000000001600
16:53:38.395000 Conn: 0001 Handle: 0002  Values: b700000000000000000000000000000000001600
16:53:39.046000 Conn: 0000 Handle: 0001  Values: ba00000000000000000000000000000000006d00
16:53:39.394000 Conn: 0001 Handle: 0001  Values: ba00000000000000000000000000000000006d00
16:53:40.042000 Conn: 0000 Handle: 0003  Values: ba00000000000000000000000000000000003700
16:53:40.400000 Conn: 0001 Handle: 0003  Values: ba00000000000000000000000000000000003700
16:53:41.048000 Conn: 0000 Handle: 0001  Values: be00000000000000000000000000000000006f00
16:53:41.402000 Conn: 0001 Handle: 0001  Values: be00000000000000000000000000000000006f00
