Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:47:39.734000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:47:57.262000 Conn: 0001 Handle: 0003  Values: 1e00000000000000000000000000000000000900
19:47:57.463000 Conn: 0000 Handle: 0001  Values: 1f00000000000000000000000000000000001200
19:47:57.564000 Conn: 0001 Handle: 0001  Values: 1f00000000000000000000000000000000001200
19:47:57.759000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:47:58.661000 Conn: 0000 Handle: 0001  Values: 2100000000000000000000000000000000001300
19:47:58.761000 Conn: 0001 Handle: 0001  Values: 2100000000000000000000000000000000001300
19:47:58.960000 Conn: 0000 Handle: 0003  Values: 2100000000000000000000000000000000000a00
19:47:59.068000 Conn: 0001 Handle: 0003  Values: 2100000000000000000000000000000000000a00
19:47:59.262000 Conn: 0000 Handle: 0001  Values: 2200000000000000000000000000000000001400
19:47:59.368000 Conn: 0001 Handle: 0001  Values: 2200000000000000000000000000000000001400
19:48:00.072000  SCAN CMD
19:48:00.562000 Conn: 0001 Handle: 0001  Values: 2500000000000000000000000000000000001500
19:48:00.757000 Conn: 0000 Handle: 0001  Values: 2500000000000000000000000000000000001500
19:48:00.870000 Conn: 0001 Handle: 0002  Values: 2500000000000000000000000000000000000500
19:48:01.062000 Conn: 0000 Handle: 0002  Values: 2500000000000000000000000000000000000500
19:48:01.163000 Conn: 0001 Handle: 0003  Values: 2500000000000000000000000000000000000b00
19:48:01.356000 Conn: 0000 Handle: 0003  Values: 2500000000000000000000000000000000000b00
19:48:01.467000 Conn: 0001 Handle: 0001  Values: 2600000000000000000000000000000000001600
19:48:01.658000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:48:01.959000 Conn: 0000 Handle: 0001  Values: 2600000000000000000000000000000000001600
19:48:02.561000 Conn: 0000 Handle: 0001  Values: 2800000000000000000000000000000000001700
19:48:02.671000 Conn: 0001 Handle: 0001  Values: 2800000000000000000000000000000000001700
