Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:55:43.662000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:55:44.090000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:55:44.195000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
19:55:44.229000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:55:44.284000  SCAN CMD
19:55:44.291000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:55:44.309000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
19:55:44.397000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:55:44.796000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:55:45.196000 Conn: 0001 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:55:45.290000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:55:45.896000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:55:45.994000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:55:46.293000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:55:46.392000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:55:47.002000 Conn: 0001 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:55:47.297000 Conn: 0000 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:55:47.548000  SCAN CMD
19:55:48.196000 Conn: 0000 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:55:48.399000 Conn: 0001 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:55:48.488000 Conn: 0000 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:55:48.573000 Conn: 0001 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:55:48.796000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:55:49.391000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:55:49.693000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
19:55:49.731000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:55:50.002000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
