Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink20:13:24.267000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
20:13:24.755000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
20:13:24.86300020:13:24.877000  Conn: SCAN CMD 
0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
20:13:24.926000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
20:13:24.960000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
20:13:24.983000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
20:13:25.064000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
20:13:25.363000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:13:25.762000 Conn: 0001 Handle: 0001  Values: 0400000000000000000000000000000000000200
20:13:25.955000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
20:13:26.564000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
20:13:26.664000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
20:13:26.967000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
20:13:27.064000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
20:13:27.665000 Conn: 0001 Handle: 0001  Values: 0700000000000000000000000000000000000400
20:13:27.959000 Conn: 0000 Handle: 0001  Values: 0700000000000000000000000000000000000400
20:13:28.165000  SCAN CMD
20:13:28.969000 Conn: 0001 Handle: 0001  Values: 0900000000000000000000000000000000000500
20:13:29.065000 Conn: 0001 Handle: 0003  Values: 0900000000000000000000000000000000000300
20:13:29.659000 Conn: 0000 Handle: 0001  Values: 0900000000000000000000000000000000000500
20:13:29.955000 Conn: 0000 Handle: 0003  Values: 0900000000000000000000000000000000000300
20:13:30.069000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
20:13:30.256000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:13:30.360000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
20:13:30.557000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
20:13:30.862000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
20:13:31.159000 Conn: 0000 Handle: 0001  Values: 0d00000000000000000000000000000000000700
20:13:31.263000 Conn: 0001 Handle: 0001  Values: 0d00000000000000000000000000000000000700
20:13:31.435000  SCAN CMD
20:13:31.462000 Conn: 0000 Handle: 0003  Values: 0d00000000000000000000000000000000000400
20:13:31.565000 Conn: 0001 Handle: 0003  Values: 0d00000000000000000000000000000000000400
20:13:31.861000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
20:13:32.356000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
20:13:32.658000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:13:33.261000 Conn: 0000 Handle: 0001  Values: 1000000000000000000000000000000000000900
20:13:33.369000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
20:13:33.557000 Conn: 0000 Handle: 0003  Values: 1000000000000000000000000000000000000500
20:13:33.666000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
20:13:33.862000 Conn: 0000 Handle: 0001  Values: 1100000000000000000000000000000000000a00
20:13:34.266000 Conn: 0001 Handle: 0001  Values: 1100000000000000000000000000000000000a00
20:13:34.702000  SCAN CMD
20:13:34.866000 Conn: 0001 Handle: 0001  Values: 1400000000000000000000000000000000000b00
20:13:35.164000 Conn: 0001 Handle: 0002  Values: 1400000000000000000000000000000000000300
20:13:35.464000 Conn: 0001 Handle: 0003  Values: 1400000000000000000000000000000000000600
20:13:36.069000 Conn: 0001 Handle: 0001  Values: 1500000000000000000000000000000000000c00
20:13:36.256000 Conn: 0000 Handle: 0001  Values: 1500000000000000000000000000000000000c00
20:13:36.560000 Conn: 0000 Handle: 0002  Values: 1500000000000000000000000000000000000300
20:13:36.858000 Conn: 0000 Handle: 0003  Values: 1500000000000000000000000000000000000600
20:13:37.156000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:13:37.463000 Conn: 0000 Handle: 0001  Values: 1700000000000000000000000000000000000d00
20:13:37.568000 Conn: 0001 Handle: 0001  Values: 1700000000000000000000000000000000000d00
