Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink19:39:21.358000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
19:39:21.827000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:39:21.933000 Conn: 000019:39:21.964000  Handle: SCAN CMD 
0002  Values: 0300000000000000000000000000000000000100
19:39:21.987000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
19:39:22.028000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:39:22.041000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
19:39:22.131000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
19:39:22.429000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:39:22.838000 Conn: 0001 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:39:23.130000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
19:39:23.630000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:39:23.731000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:39:23.937000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
19:39:24.028000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
19:39:24.924000 Conn: 0000 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:39:25.243000  SCAN CMD
19:39:25.833000 Conn: 0001 Handle: 0001  Values: 0700000000000000000000000000000000000400
19:39:26.431000 Conn: 0000 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:39:26.725000 Conn: 0000 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:39:26.742000 Conn: 0001 Handle: 0001  Values: 0900000000000000000000000000000000000500
19:39:27.028000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:39:27.075000 Conn: 0001 Handle: 0003  Values: 0900000000000000000000000000000000000300
19:39:27.325000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:39:27.350000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
19:39:27.630000 Conn: 0000 Handle: 0002  Values: 0b00000000000000000000000000000000000200
19:39:27.731000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
19:39:27.931000 Conn: 0000 Handle: 0001  Values: 0d00000000000000000000000000000000000700
19:39:27.980000 Conn: 0001 Handle: 0001  Values: 0d00000000000000000000000000000000000700
19:39:28.227000 Conn: 0000 Handle: 0003  Values: 0d00000000000000000000000000000000000400
19:39:28.278000 Conn: 0001 Handle: 0003  Values: 0d00000000000000000000000000000000000400
19:39:28.556000  SCAN CMD
19:39:29.136000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
19:39:29.730000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
19:39:30.029000 Conn: 0000 Handle: 0001  Values: 1000000000000000000000000000000000000900
19:39:30.039000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
19:39:30.334000 Conn: 0000 Handle: 0003  Values: 1000000000000000000000000000000000000500
19:39:30.393000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
19:39:30.628000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:39:31.228000 Conn: 0000 Handle: 0001  Values: 1100000000000000000000000000000000000a00
19:39:31.274000 Conn: 0001 Handle: 0001  Values: 1100000000000000000000000000000000000a00
19:39:31.82600019:39:31.835000  Conn: SCAN CMD 
0000 Handle: 0001  Values: 1400000000000000000000000000000000000b00
19:39:32.130000 Conn: 0000 Handle: 0002  Values: 1400000000000000000000000000000000000300
19:39:32.429000 Conn: 0000 Handle: 0003  Values: 1400000000000000000000000000000000000600
19:39:32.488000 Conn: 0001 Handle: 0001  Values: 1400000000000000000000000000000000000b00
19:39:32.735000 Conn: 0001 Handle: 0002  Values: 1400000000000000000000000000000000000300
19:39:33.031000 Conn: 0000 Handle: 0001  Values: 1500000000000000000000000000000000000c00
19:39:33.080000 Conn: 0001 Handle: 0003  Values: 1400000000000000000000000000000000000600
19:39:33.327000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:39:33.363000 Conn: 0001 Handle: 0001  Values: 1500000000000000000000000000000000000c00
19:39:34.525000 Conn: 0000 Handle: 0001  Values: 1700000000000000000000000000000000000d00
19:39:34.583000 Conn: 0001 Handle: 0001  Values: 1700000000000000000000000000000000000d00
19:39:34.827000 Conn: 0000 Handle: 0003  Values: 1700000000000000000000000000000000000700
19:39:34.859000 Conn: 0001 Handle: 0003  Values: 1700000000000000000000000000000000000700
19:39:35.131000 Conn: 0000 Handle: 19:39:35.1370000001   SCAN CMD Values:
 1800000000000000000000000000000000000e00
19:39:35.145000 Conn: 0001 Handle: 0001  Values: 1800000000000000000000000000000000000e00
19:39:36.325000 Conn: 0000 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
19:39:36.393000 Conn: 0001 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
19:39:36.625000 Conn: 0000 Handle: 0003  Values: 1a00000000000000000000000000000000000800
19:39:36.648000 Conn: 0001 Handle: 0003  Values: 1a00000000000000000000000000000000000800
19:39:36.933000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
19:39:37.034000 Conn: 0001 Handle: 0001  Values: 1c00000000000000000000000000000000001000
19:39:37.232000 Conn: 0000 Handle: 0001  Values: 1c00000000000000000000000000000000001000
19:39:37.325000 Conn: 0001 Handle: 0002  Values: 1c00000000000000000000000000000000000400
19:39:37.529000 Conn: 0000 Handle: 0002  Values: 1c00000000000000000000000000000000000400
19:39:38.128000 Conn: 0000 Handle: 0001  Values: 1e00000000000000000000000000000000001100
19:39:38.183000 Conn: 0001 Handle: 0001  Values: 1e00000000000000000000000000000000001100
19:39:38.39900019:39:38.429000   SCAN CMDConn:
 0000 Handle: 0003  Values: 1e00000000000000000000000000000000000900
