Python 2.7.8 (default, Jun 30 2014, 16:08:48) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
-------------------------Init device-------------------------
GAP_DeviceInitDone
-------------------------Connect-------------------------
GAP_EstablishLink ADDR: bc6a2936c202 Conn Handle: 0000
PAUSE
GAP_EstablishLink20:03:11.087000  ADDR: Start 
bc6a2936bff0 Conn Handle: 0001
20:03:11.522000 Conn: 0001 Handle: 0001  Values: 0300000000000000000000000000000000000100
20:03:11.624000 Conn: 0000 Handle: 0001  Values: 0300000000000000000000000000000000000100
20:03:11.657000 Conn: 0001 Handle: 0002  Values: 0300000000000000000000000000000000000100
20:03:11.709000  SCAN CMD
20:03:11.724000 Conn: 0000 Handle: 0002  Values: 0300000000000000000000000000000000000100
20:03:11.754000 Conn: 0001 Handle: 0003  Values: 0300000000000000000000000000000000000100
20:03:11.824000 Conn: 0000 Handle: 0003  Values: 0300000000000000000000000000000000000100
20:03:12.720000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:03:13.318000 Conn: 0000 Handle: 0001  Values: 0400000000000000000000000000000000000200
20:03:13.621000 Conn: 0001 Handle: 0001  Values: 0400000000000000000000000000000000000200
20:03:14.221000 Conn: 0000 Handle: 0001  Values: 0600000000000000000000000000000000000300
20:03:14.278000 Conn: 0001 Handle: 0001  Values: 0600000000000000000000000000000000000300
20:03:14.517000 Conn: 0000 Handle: 0003  Values: 0600000000000000000000000000000000000200
20:03:14.581000 Conn: 0001 Handle: 0003  Values: 0600000000000000000000000000000000000200
20:03:14.820000 Conn: 0000 Handle: 0001  Values: 0700000000000000000000000000000000000400
20:03:14.841000 Conn: 0001 Handle: 0001  Values: 0700000000000000000000000000000000000400
20:03:14.972000  SCAN CMD
20:03:15.717000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:03:16.320000 Conn: 0000 Handle: 0001  Values: 0900000000000000000000000000000000000500
20:03:16.384000 Conn: 0001 Handle: 0001  Values: 0900000000000000000000000000000000000500
20:03:16.617000 Conn: 0000 Handle: 0003  Values: 0900000000000000000000000000000000000300
20:03:16.670000 Conn: 0001 Handle: 0003  Values: 0900000000000000000000000000000000000300
20:03:16.921000 Conn: 0000 Handle: 0002  Values: 0a00000000000000000000000000000000000200
20:03:16.955000 Conn: 0001 Handle: 0001  Values: 0b00000000000000000000000000000000000600
20:03:17.229000 Conn: 0001 Handle: 0002  Values: 0b00000000000000000000000000000000000200
20:03:17.519000 Conn: 0000 Handle: 0001  Values: 0b00000000000000000000000000000000000600
20:03:18.119000 Conn: 0000 Handle: 0001  Values: 0d00000000000000000000000000000000000700
20:03:18.159000 Conn: 0001 Handle: 0001  Values: 0d00000000000000000000000000000000000700
20:03:18.247000  SCAN CMD
20:03:18.417000 Conn: 0000 Handle: 0003  Values: 0d00000000000000000000000000000000000400
20:03:18.457000 Conn: 0001 Handle: 0003  Values: 0d00000000000000000000000000000000000400
20:03:18.726000 Conn: 0001 Handle: 0001  Values: 0e00000000000000000000000000000000000800
20:03:19.321000 Conn: 0000 Handle: 0001  Values: 0e00000000000000000000000000000000000800
20:03:19.621000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:03:20.223000 Conn: 0000 Handle: 0001  Values: 1000000000000000000000000000000000000900
20:03:20.250000 Conn: 0001 Handle: 0001  Values: 1000000000000000000000000000000000000900
20:03:20.519000 Conn: 0000 Handle: 0003  Values: 1000000000000000000000000000000000000500
20:03:20.558000 Conn: 0001 Handle: 0003  Values: 1000000000000000000000000000000000000500
20:03:20.830000 Conn: 0001 Handle: 0001  Values: 1100000000000000000000000000000000000a00
20:03:21.420000 Conn: 0000 Handle: 0001  Values: 1100000000000000000000000000000000000a00
20:03:21.570000  SCAN CMD
20:03:22.030000 Conn: 0001 Handle: 0001  Values: 1400000000000000000000000000000000000b00
20:03:22.331000 Conn: 0001 Handle: 0002  Values: 1400000000000000000000000000000000000300
20:03:22.619000 Conn: 0000 Handle: 0001  Values: 1400000000000000000000000000000000000b00
20:03:22.652000 Conn: 0001 Handle: 0003  Values: 1400000000000000000000000000000000000600
20:03:22.917000 Conn: 0000 Handle: 0002  Values: 1400000000000000000000000000000000000300
20:03:22.955000 Conn: 0001 Handle: 0001  Values: 1500000000000000000000000000000000000c00
20:03:23.219000 Conn: 0000 Handle: 0003  Values: 1400000000000000000000000000000000000600
20:03:23.525000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:03:23.826000 Conn: 0000 Handle: 0001  Values: 1500000000000000000000000000000000000c00
20:03:24.120000 Conn: 0000 Handle: 0001  Values: 1700000000000000000000000000000000000d00
20:03:24.163000 Conn: 0001 Handle: 0001  Values: 1700000000000000000000000000000000000d00
20:03:24.424000 Conn: 0000 Handle: 0003  Values: 1700000000000000000000000000000000000700
20:03:24.468000 Conn: 0001 Handle: 0003  Values: 1700000000000000000000000000000000000700
20:03:24.722000 Conn: 0001 Handle: 0001  Values: 1800000000000000000000000000000000000e00
20:03:24.839000  SCAN CMD
20:03:25.626000 Conn: 0000 Handle: 0001  Values: 1800000000000000000000000000000000000e00
20:03:25.919000 Conn: 0000 Handle: 0050  Values: 0100000000000000000000000000000000000030
20:03:26.221000 Conn: 0000 Handle: 0001  Values: 1a00000000000000000000000000000000000f00
